0,0,0
0.04,-0.016,-1.6
0.08,-0.012,-1.2
0.12,-0.008,-0.8
0.16,0,0
0.2,-0.004,-0.4
0.24,-0.012,-1.2
0.28,0,0
0.32,-0.012,-1.2
0.36,0.008,0.8
0.4,-0.012,-1.2
0.44,-0.016,-1.6
0.48,-0.016,-1.6
0.52,-0.02,-2
0.56,0.004,0.4
0.6,-0.004,-0.4
0.64,-0.008,-0.8
0.68,-0.008,-0.8
0.72,0.004,0.4
0.76,0,0
0.8,-0.004,-0.4
0.84,0,0
0.88,-0.008,-0.8
0.92,-0.016,-1.6
0.96,0.004,0.4
1,0,0
1.04,-0.016,-1.6
1.08,-0.008,-0.8
1.12,0,0
1.16,-0.004,-0.4
1.2,-0.004,-0.4
1.24,0.004,0.4
1.28,-0.016,-1.6
1.32,-0.008,-0.8
1.36,-0.008,-0.8
1.4,-0.008,-0.8
1.44,0,0
1.48,-0.004,-0.4
1.52,-0.008,-0.8
1.56,-0.004,-0.4
1.6,-0.004,-0.4
1.64,0,0
1.68,-0.012,-1.2
1.72,-0.012,-1.2
1.76,-0.004,-0.4
1.8,-0.012,-1.2
1.84,-0.004,-0.4
1.88,-0.008,-0.8
1.92,-0.012,-1.2
1.96,0,0
2,-0.004,-0.4
2.04,-0.004,-0.4
2.08,0,0
2.12,-0.004,-0.4
2.16,-0.016,-1.6
2.2,-0.012,-1.2
2.24,-0.012,-1.2
2.28,0,0
2.32,0,0
2.36,-0.004,-0.4
2.4,-0.008,-0.8
2.44,-0.004,-0.4
2.48,-0.008,-0.8
2.52,-0.004,-0.4
2.56,-0.004,-0.4
2.6,-0.004,-0.4
2.64,-0.008,-0.8
2.68,-0.008,-0.8
2.72,-0.004,-0.4
2.76,0,0
2.8,-0.004,-0.4
2.84,0,0
2.88,0.004,0.4
2.92,-0.008,-0.8
2.96,-0.004,-0.4
3,-0.008,-0.8
3.04,0,0
3.08,0.004,0.4
3.12,-0.016,-1.6
3.16,-0.016,-1.6
3.2,-0.012,-1.2
3.24,-0.008,-0.8
3.28,0,0
3.32,-0.008,-0.8
3.36,-0.008,-0.8
3.4,-0.012,-1.2
3.44,-0.016,-1.6
3.48,-0.008,-0.8
3.52,-0.008,-0.8
3.56,-0.004,-0.4
3.6,-0.008,-0.8
3.64,0,0
3.68,0,0
3.72,-0.012,-1.2
3.76,-0.012,-1.2
3.8,0,0
3.84,-0.012,-1.2
3.88,-0.012,-1.2
3.92,-0.012,-1.2
3.96,0.008,0.8
4,-0.004,-0.4
4.04,0.004,0.4
4.08,-0.004,-0.4
4.12,0,0
4.16,-0.008,-0.8
4.2,-0.012,-1.2
4.24,0.08,8
4.28,0.08,8
4.32,0.08,8
4.36,0.088,8.8
4.4,0.08,8
4.44,0.088,8.8
4.48,0.088,8.8
4.52,0.1,10
4.56,0.1,10
4.6,0.088,8.8
4.64,0.092,9.2
4.68,0.1,10
4.72,0.084,8.4
4.76,0.092,9.2
4.8,0.084,8.4
4.84,0.252,25.2
4.88,0.272,27.2
4.92,0.252,25.2
4.96,0.264,26.4
5,0.28,28
5.04,0.264,26.4
5.08,0.26,26
5.12,0.264,26.4
5.16,0.224,22.4
5.2,0.216,21.6
5.24,0.22,22
5.28,0.212,21.2
5.32,0.228,22.8
5.36,0.228,22.8
5.4,0.224,22.4
5.44,0.208,20.8
5.48,0.212,21.2
5.52,0.212,21.2
5.56,0.22,22
5.6,0.212,21.2
5.64,0.22,22
5.68,0.22,22
5.72,0.224,22.4
5.76,0.212,21.2
5.8,0.232,23.2
5.84,0.22,22
5.88,0.224,22.4
5.92,0.216,21.6
5.96,0.208,20.8
6,0.22,22
6.04,0.212,21.2
6.08,0.232,23.2
6.12,0.228,22.8
6.16,0.212,21.2
6.2,0.22,22
6.24,0.22,22
6.28,0.232,23.2
6.32,0.208,20.8
6.36,0.232,23.2
6.4,0.216,21.6
6.44,0.228,22.8
6.48,0.224,22.4
6.52,0.228,22.8
6.56,0.212,21.2
6.6,0.228,22.8
6.64,0.228,22.8
6.68,0.224,22.4
6.72,0.228,22.8
6.76,0.224,22.4
6.8,0.212,21.2
6.84,0.216,21.6
6.88,0.22,22
6.92,0.22,22
6.96,0.224,22.4
7,0.228,22.8
7.04,0.22,22
7.08,0.232,23.2
7.12,0.22,22
7.16,0.212,21.2
7.2,0.216,21.6
7.24,0.232,23.2
7.28,0.212,21.2
7.32,0.224,22.4
7.36,0.208,20.8
7.4,0.224,22.4
7.44,0.224,22.4
7.48,0.212,21.2
7.52,0.224,22.4
7.56,0.216,21.6
7.6,0.216,21.6
7.64,0.224,22.4
7.68,0.22,22
7.72,0.232,23.2
7.76,0.22,22
7.8,0.208,20.8
7.84,0.22,22
7.88,0.224,22.4
7.92,0.224,22.4
7.96,0.216,21.6
8,0.224,22.4
8.04,0.224,22.4
8.08,0.212,21.2
8.12,0.224,22.4
8.16,0.22,22
8.2,0.22,22
8.24,0.236,23.6
8.28,0.212,21.2
8.32,0.22,22
8.36,0.212,21.2
8.4,0.22,22
8.44,0.212,21.2
8.48,0.212,21.2
8.52,0.228,22.8
8.56,0.212,21.2
8.6,0.212,21.2
8.64,0.22,22
8.68,0.224,22.4
8.72,0.228,22.8
8.76,0.22,22
8.8,0.224,22.4
8.84,0.216,21.6
8.88,0.224,22.4
8.92,0.216,21.6
8.96,0.224,22.4
9,0.212,21.2
9.04,0.212,21.2
9.08,0.216,21.6
9.12,0.224,22.4
9.16,0.212,21.2
9.2,0.228,22.8
9.24,0.224,22.4
9.28,0.224,22.4
9.32,0.224,22.4
9.36,0.228,22.8
9.4,0.228,22.8
9.44,0.22,22
9.48,0.216,21.6
9.52,0.22,22
9.56,0.22,22
9.6,0.232,23.2
9.64,0.224,22.4
9.68,0.228,22.8
9.72,0.224,22.4
9.76,0.228,22.8
9.8,0.208,20.8
9.84,0.224,22.4
9.88,0.22,22
9.92,0.224,22.4
9.96,0.212,21.2
10,0.22,22
10.04,0.22,22
10.08,0.228,22.8
10.12,0.216,21.6
10.16,0.216,21.6
