4.64,0.092,9.2,1.16,0.012,1.2
4.68,0.1,10,1.17,0.008,0.8
4.72,0.084,8.4,1.18,0.004,0.4
4.76,0.092,9.2,1.19,0.02,2
4.8,0.084,8.4,1.2,0.008,0.8
4.84,0.252,25.2,1.21,0.016,1.6
4.88,0.272,27.2,1.22,0.032,3.2
4.92,0.252,25.2,1.23,0.032,3.2
4.96,0.264,26.4,1.24,0.02,2
5,0.28,28,1.25,0.028,2.8
5.04,0.264,26.4,1.26,0.016,1.6
5.08,0.26,26,1.27,0.016,1.6
5.12,0.264,26.4,1.28,0.024,2.4
5.16,0.224,22.4,1.29,0.012,1.2
5.2,0.216,21.6,1.3,0.008,0.8
5.24,0.22,22,1.31,0.016,1.6
5.28,0.212,21.2,1.32,0.02,2
5.32,0.228,22.8,1.33,0.02,2
5.36,0.228,22.8,1.34,0.016,1.6
5.4,0.224,22.4,1.35,0.004,0.4
5.44,0.208,20.8,1.36,0,0
5.48,0.212,21.2,1.37,0.024,2.4
5.52,0.212,21.2,1.38,0.032,3.2
5.56,0.22,22,1.39,0.004,0.4
5.6,0.212,21.2,1.4,0.028,2.8
5.64,0.22,22,1.41,0.016,1.6
5.68,0.22,22,1.42,0.02,2
5.72,0.224,22.4,1.43,0.024,2.4
5.76,0.212,21.2,1.44,0.016,1.6
5.8,0.232,23.2,1.45,0.004,0.4
5.84,0.22,22,1.46,0.032,3.2
5.88,0.224,22.4,1.47,0.008,0.8
5.92,0.216,21.6,1.48,0.028,2.8
5.96,0.208,20.8,1.49,0.024,2.4
6,0.22,22,1.5,0.02,2
6.04,0.212,21.2,1.51,0.02,2
6.08,0.232,23.2,1.52,0.012,1.2
6.12,0.228,22.8,1.53,0.024,2.4
6.16,0.212,21.2,1.54,0.02,2
6.2,0.22,22,1.55,0.02,2
6.24,0.22,22,1.56,0.004,0.4
6.28,0.232,23.2,1.57,0.024,2.4
6.32,0.208,20.8,1.58,0.02,2
6.36,0.232,23.2,1.59,0.02,2
6.4,0.216,21.6,1.6,0.004,0.4
6.44,0.228,22.8,1.61,0.024,2.4
6.48,0.224,22.4,1.62,0.004,0.4
6.52,0.228,22.8,1.63,0.02,2
6.56,0.212,21.2,1.64,0.02,2
6.6,0.228,22.8,1.65,0.024,2.4
6.64,0.228,22.8,1.66,0.012,1.2
6.68,0.224,22.4,1.67,0.02,2
6.72,0.228,22.8,1.68,0.012,1.2
6.76,0.224,22.4,1.69,0.04,4
6.8,0.212,21.2,1.7,0.012,1.2
6.84,0.216,21.6,1.71,0.008,0.8
6.88,0.22,22,1.72,0.016,1.6
